run,old_distance_m,old_budget_thb,our_distance_m,our_budget_thb
1,15703.01,19576.59,10705.26,13698.09
2,15975.47,17482.81,15214.36,21306.12
3,8702.25,16257.24,6552.04,18787.55
4,13177.23,19913.67,10781.82,16831.54
5,5669.72,15867.75,6799.7,15495.87
6,8633.18,17330.1,8858.01,14337.39
7,16906.95,13330.02,5424.17,14446.27
8,7483.17,21150.78,17409.49,18654.95
9,8928.95,16614.62,8655.25,15084.23
10,6507.83,16089.4,12706.76,18553.58
11,21077.24,16204.24,7975.83,19790.05
12,13077.77,17189.64,11000.91,13157.49
13,10100.55,20728.44,11579.87,17888.37
14,14208.99,14641.18,9606.18,17350.45
15,5390.31,21521.02,23709.81,14627.63
16,10406.23,24793.27,14155.13,16198.39
17,11147.58,15478.85,12087.26,17614.62
18,18407.32,22356.85,14720.28,14092.51
19,12186.53,13582.45,18236.21,23351.31
20,20007.25,22802.85,9287.77,17160.58
21,10217.82,17022.05,16771.16,14884.81
22,7183.98,16502.38,9903.36,18035.99
23,9841.94,20698.37,8028.94,18136.01
24,15127.45,18220.16,9961.58,13496.94
25,10453.5,21305.99,19020.33,17809.94
26,16537.61,18258.02,12602.39,17880.03
27,14667.36,17801.9,12616.05,18266.52
28,11971.36,13465.73,20494.99,16436.54
29,11796.37,19855.46,9644.42,13262.85
30,8019.15,16106.97,9262.25,14343.25
31,17960.49,19251.66,9671.55,12666.72
32,8683.63,17147.03,12369.83,13882.28
33,11191.45,18758.37,14293.86,20130.24
34,7674.16,15270.74,19051.34,13357.41
35,10964.17,18250.11,12349.92,13314.88
36,13785.45,18628.06,12479.12,17267.34
37,7655.88,13507.18,19106.16,17330.82
38,18687.33,21189,4830.63,16287.16
39,9318.3,20505.75,5736.81,15401.11
40,18514.48,20474.8,5359.28,16369.59
41,11099.23,14115.43,17259.32,18979.83
42,12630.85,21226.77,9815.96,18788.2
43,16355.86,19841.19,10514.92,17410.63
44,12716.59,15305.85,12215.24,15067.8
45,11413.77,13256.88,8481.76,14023.24
46,10623.43,15904.29,4983.47,15496.92
47,15478.05,18647.54,6582.66,15210.6
48,17153.13,20474.35,19163.97,19583.66
49,8838.32,20762.3,19177.64,14163.19
50,14556.1,17501.17,16048.44,18399.82
51,12945.78,14694.73,17712.4,9751.65
52,9556.32,22286.91,8872.83,12996.93
53,7963.88,20668.33,14887,16231.02
54,12701.82,17891.66,11844.86,18992.52
55,7867.98,15729.53,11879.9,20281.2
56,8955.28,19842.73,7079.19,14751.56
57,13031.93,15782.44,9823.49,17883.61
58,17814.9,19825.23,7215.21,13559.6
59,10055.81,15116.81,16271.95,17043.71
60,16053.47,10194.9,10394,16249.13
61,21684,15040.74,9652.13,19597.42
62,12599.6,14744.65,9471.49,12243.63
63,8656.15,17200.73,8835.4,15601.57
64,14664.56,18392.77,14306.93,23424.11
65,5828.63,19766.63,12326.09,11457.43
66,9261.38,15189.15,12060.71,16104.21
67,21634.76,17080.6,12519.99,17759.25
68,12543.66,15893.99,11232.94,12951.93
69,17299.05,20089.76,7613.52,16732.68
70,14342.81,21274.34,9903.46,20053.34
71,6138.27,17642.9,11632.21,14385.46
72,14471.94,18288.04,9162.31,20178.76
73,6911.4,19812.16,8841.15,17006.5
74,20969.77,17874.34,16768.3,16603.88
75,9528.67,13147.2,8570.88,18861.95
76,9145.37,19338.94,15435.88,16314.92
77,5870.06,13104.73,8841.26,12277.02
78,18699.32,21354.75,7742.02,18692.37
79,13749.57,20134.13,12524.84,18356.71
80,11655.23,18952.72,8575.77,17309.09
81,9268.72,17004.35,7440.61,12889.22
82,16462.64,14660.59,12042.26,13258.67
83,13262.55,19661.13,10096.64,17731.93
84,16467.91,22187.53,6103.33,15454.27
85,11237.66,15147.72,22942.72,18982.07
86,11459.35,21215.19,11701.91,16295.82
87,9884.05,18216.17,13475.93,14482.7
88,10550.45,17155.2,13154.05,20214.59
89,16569.09,16105.89,12243.95,18055.77
90,11870.92,18347.8,17318.75,15531.27
91,12824.12,15903.58,11692.67,13798
92,11230.33,14227.07,9032.94,10958.18
93,7113.2,14487.84,14755.37,13121.91
94,12339.98,14625.74,13261.2,21048.25
95,19624.17,16323.43,15557.02,21127.96
96,8160.33,16197.94,8590.21,14278.91
97,21155.1,21103,19340.55,15014.96
98,18162.97,14097.26,13526.94,14268.72
99,6275.56,19603.37,7602.94,12489.49
100,10571.54,17861.88,5581.18,13046.75
101,11499.87,17607.42,11346.07,24187.04
102,12619.5,16844.73,9785.22,19377.52
103,12067.41,16647.41,18638.56,12850.7
104,16307.96,16183.72,8412.15,18950.43
105,9353.41,22268.88,9239.33,9878.67
106,8064.43,21004.59,12743.91,15057.25
107,13153.97,17834.45,14850.32,19360.44
108,13197.71,16767.01,21228.14,16603.3
109,13437.4,16585.15,6287.6,16205.16
110,16932.17,14293.28,17646.25,18384.93
111,8743.11,17027.7,11546.98,15922.99
112,21940.85,14790.22,9741.7,14668.15
113,4017.29,15258.89,13375.36,15002.34
114,11230.52,20317.66,5097.51,16110.03
115,10607.94,21135.59,13395.83,17544.47
116,9287.23,18652.77,12411.32,15008.98
117,7913.55,16088.35,9408.75,15345.74
118,9727.07,15272.94,9978.22,17380.29
119,10122.77,14911.82,12442.73,21088.21
120,10206.67,19782.68,15331.49,13017.68
121,13824.75,18303.72,11543.28,20180.38
122,10029.31,20627.13,5924.16,18877.47
123,11151.08,12171.45,12235.21,17980.2
124,14055.11,13431.49,14730.81,18752.08
125,7598.67,15566.04,6624.14,14861.68
126,12659.68,18646.24,15012.3,12024.66
127,10384.3,19278.91,7702.34,14453.49
128,10458.3,14370.2,8407.17,14651.53
129,10233.04,15966.1,20615.09,19368.47
130,19824.59,18657.12,10897.63,14799.15
131,16840.65,20868.24,12414.48,19067.75
132,8082.56,12341.58,14246.8,16047.4
133,12460.92,15918.79,9430.18,14815.82
134,10074.17,14127.88,9714.96,15833.18
135,13083.57,17719.21,7170.84,16488.4
136,5624.63,17766.24,9928.06,19940.91
137,12429.41,16529.93,13306.33,19678.21
138,12600.01,14845.94,18951.32,20254.43
139,10311.09,18748.74,15248.33,13078.73
140,11787.67,16295.3,22049.07,18132.13
141,13632.41,19269.76,11996.44,21041.6
142,13216.98,15082.98,11530.34,20576.8
143,14195.97,13908.7,10715.73,13805.36
144,12202.43,16020.66,7952.95,20350.73
145,15151.73,21330.44,8866.04,14739.57
146,14745.03,17086.85,11489.07,16279.18
147,9538.42,22345.55,9689.15,12554.69
148,13872.25,17040.74,12104.42,19373.7
149,13596.89,14661.45,13500.83,14102.71
150,13225.25,12756.02,9764.95,19290.43
151,8060.19,15964.17,22455.43,23951.67
152,9825.11,18251.5,16197.98,14120.9
153,9294.16,19344.36,12461.42,15555.21
154,11515.53,17354.31,18958.73,19922.77
155,6150.37,14924.4,5302.43,15188.7
156,13944.8,17417.76,14640.25,13368.23
157,19426.65,22084.59,13292.02,17533.69
158,12746.1,18736.74,6553.29,16338.09
159,14333.13,14842.29,16053.66,23293.87
160,18780.22,21425.79,14046.67,14707.53
161,8352.15,18485.45,6438.54,17978.71
162,7263.54,18544.12,12761.09,20573.79
163,12416.74,17610.74,6088.37,17033.83
164,13907.93,14099.11,9839.11,18116.93
165,9318.77,18840.79,9218.87,15392.56
166,11457.36,17483,15940.46,16656.5
167,13386.31,19011.75,9989.59,12348.27
168,10631.37,16073.08,14101.63,16208.97
169,5690.46,14116.02,12430.26,17207.99
170,10048.4,15471.09,5509.68,16835.44
171,5388.53,14882.81,14784.26,17093.25
172,11683.16,13999.95,11756.93,19666.8
173,17041.63,18356.62,8707.43,12630.37
174,14415.19,19376.03,13143.17,16386.11
175,9384.42,14701.52,6711.81,11656.02
176,14645.27,15616.25,12429.02,18405.26
177,17577.71,22231.11,7256.32,13027.89
178,13825.04,14477.23,10907.9,18141.2
179,9341.84,18378.17,11214.07,20948.5
180,17411.45,15514.04,7688.57,12873.59
181,15622,19450.6,10007.36,14604.81
182,14275.49,19832.68,9964.68,19758.92
183,13492.86,15679.06,14042.48,16911.13
184,8534.9,14796.5,15626.59,14336.23
185,11888.71,16870.78,12307.1,21526.35
186,11315.74,14558.05,6959.19,13895.88
187,19480.87,15471.19,18354.07,14395.81
188,24302.19,18278.25,14242.22,18868.35
189,9196.92,19032.71,20704.2,12009.95
190,6625.68,20193.45,7346.65,12873.15
191,16398.52,13747.36,10333.97,19102.33
192,8735.05,12872.12,14905.59,20962.94
193,8337.4,18368.07,10491.66,16936.58
194,11350.26,15803.48,15439.94,12950.34
195,12518.99,18723.52,7966.62,16273.67
196,10036.34,24418.37,21586.64,21049.63
197,13403.53,13176.12,10091.19,20770.33
198,20227.35,20124.54,14461.23,20018.12
199,7100.22,16619.53,26155.56,15034.24
200,19720.88,11546.48,8090.3,14793.64
201,11380.46,20533.24,12822.72,17843.72
202,10590.33,17956.69,16063.53,14378.86
203,24724.1,24336.4,13506.35,16746.71
204,13374.17,14372.87,8278.1,22276.97
205,10735.25,17854.26,14981.74,14823.57
206,17125.14,21013.49,12188.62,18290.36
207,10518.42,12912.61,9502,16676.89
208,15224.54,15413.59,11227.46,19252.08
209,18030.35,13067.23,13175.15,17696.58
210,11889.5,20614.59,9856.12,19761.86
211,11767.49,18659.44,9804.81,14954.44
212,7550.14,17433.7,13234.92,16552.26
213,13765.26,20858.97,22317.68,16357.05
214,6008.58,18197.96,12558.77,18393.43
215,10326.2,17469.92,12056.49,13841.74
216,12828.98,19966.06,17144.86,17917.08
217,4477.62,16898.5,17660.02,13561.12
218,10444.77,14515.91,10534.17,19849.02
219,7372.51,14795.01,14386.78,14972.07
220,6958.32,16194.71,13579.78,20107.35
221,9980.11,16902.89,16053.14,13485.72
222,14711.4,21039.98,9647.18,17423.27
223,14463.02,20835.51,17646.67,17755.35
224,12369.96,19804.71,16241.02,19380.64
225,15756.07,19964.53,23045.03,13911.69
226,6640.53,18805.77,9270.88,17283.25
227,11260.25,15976.9,15331.37,15871.68
228,13618.96,14812.04,8774.42,19270.57
229,7284.4,15562.6,15410.91,16647.4
230,8144.84,17554.43,10005.92,15865.81
231,7409.92,12819.42,14794.66,21059.97
232,12530.08,17976.24,11590.43,14378.15
233,7115.13,20925.41,17391.59,12335.97
234,5219.55,18965.32,16366.23,17902.88
235,6404.41,16239.14,14666.25,15814.4
236,4596.78,15380.9,9415,8810.98
237,13870.97,20016.63,17161.24,21992.17
238,12494.29,18231.55,15152.23,17928.49
239,11436.06,17709,11749.14,15623.13
240,16858.35,23484.04,12411.33,17626.64
241,11900.99,21125.01,8456.06,14362.63
242,20865.36,18115.13,11293.84,19548.24
243,11215.96,19017.2,15893.55,17187.56
244,12045.69,18188.03,12117.78,16109.64
245,9205.65,17950.47,9960.4,17862.89
246,11430.63,15088.68,7501.09,15823.42
247,10422.28,19182.54,9271.19,14747.15
248,15930.34,21527.14,9906.1,20223.46
249,17936.39,15455.66,9824.47,14900.07
250,15630.7,18405.67,8161.37,16930.93
251,12137.92,17687.36,7861.49,20363.97
252,12671.87,14522.87,10404.84,13562.14
253,15802.32,16535.42,12720.1,15953.92
254,12023.76,18840.61,13552.22,15643.02
255,8873.83,17963.04,10708.14,18209.53
256,10427.35,11757.23,10141.68,16973.1
257,15412.43,20804.42,15551.45,16709.31
258,12035.45,14934.09,19329.18,11142.49
259,9709.57,19759.83,15236.21,13297.72
260,7530.8,18569.2,13840.12,19147.56
261,9265.77,17122.09,10892.96,15071.55
262,8741.76,16247.25,10273.95,12451.89
263,15260.22,17079.69,13180.95,17741.82
264,10587.25,21210.72,17949.77,22808.94
265,15933.66,17467.36,11488.96,18506.78
266,9169.79,12011.01,17167.88,12592.25
267,12865.45,15362.12,16019.39,15509.59
268,11118,16638.5,19180.34,14948.74
269,11357.81,13593.75,13961.46,16724.97
270,13629.46,19259.62,16976,19815.88
271,11282.05,11943.76,13780.9,23084.07
272,12664.45,16832.36,5835.01,20410.13
273,11700.62,18426.07,9792.94,15789.08
274,11205.97,13489.52,18408.22,14191.54
275,13838.82,21796.81,13744.85,15186.28
276,8865.02,19632.86,11974.72,11833.1
277,16142.83,21035.49,11180.29,17886.84
278,19504.7,16560.98,9477.28,14412.56
279,14082.93,16119.87,16895.23,16194.07
280,16021.44,18875.15,11813.97,13666.05
281,10474.9,19562.31,18683.85,17144.22
282,18060.7,20859.26,7844.07,19212.48
283,12232.63,18423.56,12807.26,16491.52
284,16064.28,15081.97,16383.46,12276.87
285,10744.3,16178.8,18368.92,15381.9
286,8610.55,16165.14,13913.34,13722.93
287,14559.67,14813.76,7215.11,19872.91
288,11152.16,16509.48,9579.6,12274.08
289,10386.56,15974.94,13089.8,15068.15
290,18290.78,14360.97,19203.51,16437.21
291,18155.95,19565.13,12980.5,14600.94
292,9897.17,18515.61,7361.54,16941.46
293,13235.64,18753.96,8060.68,15865.95
294,12773.34,17718.21,11350.65,12818.7
295,10630.85,18788.53,21254.17,19642.82
296,18364.68,19105.81,9782.93,17427.55
297,12642.51,19139.61,17002.3,15529.31
298,17946.74,17714.14,10206.33,13598.59
299,9045.02,15236.5,8740.45,15406.21
300,12337.46,15625.75,12841.94,14160.53
301,11117.79,22828.08,11977.76,14533.86
302,8938.08,17918.4,11014.48,17725.13
303,19419.18,16377.11,9393.12,12223.38
304,15108.39,17506.98,13060.31,16543.6
305,9453.56,15618.79,17298.08,17159.13
306,12384.92,23303.43,8756.87,13161.12
307,21001.38,21745.96,17326.58,18382.3
308,11813.04,13192.99,16396.59,16238.85
309,12355.67,17708.13,9864.43,10087.96
310,8796.62,16781.01,15520.26,14862.09
311,8887.07,18496.96,10234.38,18841.66
312,11042.25,18343.15,13183.09,20636.45
313,11995.26,16736.39,9672.31,17919.07
314,6818.23,14423.93,9720.69,14071.11
315,12314.51,18085.17,6680.09,15322.01
316,14334.61,14000.87,7734.85,15404.43
317,19119.86,21235.94,13886.91,13378.71
318,24218.12,13872.12,11016.75,16603.75
319,8324.46,12479.29,7910.86,11908.98
320,10193.83,11838.46,9837.54,17773.75
321,10567.94,17483.05,3865.29,16609.21
322,20189.45,16281.21,6724.81,14806.76
323,5126.15,15626.68,11626.89,16437.16
324,15057.69,18724.84,9332.12,14217.33
325,10027.53,17391.88,13679.55,19446.43
326,13843.22,12958.39,9496.56,17478.09
327,10523.99,15371.62,10013.62,14843.81
328,12860.75,17631.06,12993.1,16388.04
329,10437.67,14684.84,12807.66,17000.02
330,13420.85,15408.36,19867.24,19378.07
331,12156.87,21033.53,11767.31,12862.23
332,7189.71,16937.98,8237.1,18525.59
333,19110.4,20710.19,9805.79,15791.09
334,7559.17,22634.18,13711.21,20870.76
335,7871.21,20798.39,14187.1,19277.6
336,13668.42,22100.37,10842.77,15317.43
337,13884.82,19653.63,11979.69,15844.06
338,11608.7,17052.02,6014.94,14931.16
339,16079.78,18587.27,17320.17,16491.41
340,10984.85,19217.49,16325.75,16434.22
341,13610.26,19380.35,5589.51,14871.43
342,13566.06,17229.8,6747.4,15223.12
343,7978.55,15182.76,13430.79,14075.37
344,13242.34,14562.79,10450.11,16096.56
345,6853.58,15963.91,8147.55,18801.17
346,15457.18,14247.97,14334.62,15830.85
347,17763.82,15223.77,10425.13,14526.79
348,14230.75,23460.3,19218.21,16702.6
349,16541.12,20952.02,17155.13,13907.19
350,13703.97,14689.33,8289.29,20090.28
351,14144.67,14115.91,18788.09,15724.95
352,14404.77,20633.69,10181.6,19280.15
353,13220.66,14306.61,13648.22,11737.32
354,10718.18,16218.33,11015.14,19053.35
355,15013.31,21489.67,10309.93,17938.51
356,12827.84,21339.3,5824.54,15741.93
357,15550.08,14830.31,17700.84,13685.13
358,7509.34,17997.75,12054.29,15580.01
359,15235.3,16472.61,7150.55,14769.21
360,10489.98,17654.24,12874.93,7046.69
361,8099.38,17117.24,10995.09,12372.73
362,9153.77,17627.46,7683.11,11224
363,11367.7,15878.42,11877.48,21763.22
364,8556.93,15607.85,14615.82,14466.81
365,18092.5,18874.92,8681.31,20176.43
366,15812.71,16385.98,6909.43,22796.45
367,9556.37,21649.85,7885.41,17347.52
368,16538.65,14184.69,6792.93,16648.9
369,12119.5,16206.3,6954.47,17003.09
370,11536.48,21287.03,11011.21,20116.52
371,8498.53,18687.12,10399.6,13217.86
372,8586.74,15227.5,9138.26,15304.8
373,11894.21,20620.1,11662.97,17771
374,6246.53,14999.5,9784.95,16740.22
375,10747.63,14595.8,12590.08,15413.25
376,10181.6,15162.52,19528.18,19282.46
377,11291.73,16191.97,10068.54,14535.26
378,10311.55,18349.75,13833.83,20832.16
379,10801.35,18032.21,18985.03,13964.97
380,9934.34,17734.33,15327.93,15582.66
381,18004.57,20145.12,7631.92,10948.59
382,16111.09,14432.05,5976.73,19520.04
383,8698.13,16280.25,12369.86,14115.77
384,12470.32,15803.01,10971.44,16885.56
385,10506.89,13483.15,18628.95,20113.34
386,13728.15,17239.11,16395.55,16699.31
387,8151.75,15379.62,9087.71,17483.34
388,15867.73,15473.66,14400.11,18178.75
389,8496.7,17917.56,13253.06,19229.08
390,11611.11,18233.9,8072.05,14332.24
391,7768.1,16675.7,14828.03,15920.69
392,10736.63,17720.54,10487.74,19315.61
393,13817.21,20197.46,9037.12,14176.98
394,9724.77,15069.37,11385.95,15699.38
395,10693.04,17957.5,11419.26,19794.19
396,13396.7,16221.38,8105.19,18662.75
397,18141.98,17149.73,19334.35,20459.46
398,10683.24,19457.93,11268.86,11854.96
399,13276.53,13351.34,18081.42,18295
400,15916.83,19272.92,8724.98,19584.87
401,13719.26,18601.59,13695.23,18029
402,20296.45,13731.96,15590.62,19635.12
403,8282.34,17605.79,11796.28,16228.56
404,9365.6,18090.81,9104.56,17943.57
405,12793.21,16907.85,11586.75,18825.74
406,8017.71,15061.98,16792.88,12433.64
407,5777.57,16661.27,13698.44,20717.69
408,20475.7,18899.48,7267.98,14518.81
409,7463.51,11386.53,13103.73,13879.53
410,8880.44,14357.36,12049.76,14553.12
411,20930.71,18600.87,16882.12,13124.71
412,11715.13,22209,10137.91,12532.03
413,17715.17,18138.45,8135.81,16032.15
414,9657.16,15094.77,16691.76,16822.6
415,11934.47,13547.58,13062.44,17987.4
416,8871.61,19756.64,10126.88,14159.23
417,8752.74,15559.7,11083.35,16092.47
418,17200.6,22177.1,8460.21,15113.13
419,14910.42,17670.71,13620.49,17489.59
420,10690.04,19252.92,11686.89,15384.88
421,12205.65,12342.69,14408.67,16731.88
422,10871.78,18990.95,5658.22,21113.09
